id,type,testSet,prompt,answerTermId,choices,imageId,targetLabel,explanation,hotspots
q_text_001,text_mcq,basic_upper,英語 scapula に対応する日本語はどれですか。,scapula,scapula|clavicle|humerus|sternum,,,scapula は肩甲骨です。肩の後面に位置します。,
q_text_002,text_mcq,basic_upper,日本語 鎖骨 に対応する英語はどれですか。,clavicle,clavicle|scapula|radius|ulna,,,鎖骨は英語で clavicle、ラテン語で clavicula です。,
q_text_003,text_mcq,basic_upper,ラテン語 humerus に対応する日本語はどれですか。,humerus,humerus|radius|ulna|femur,,,humerus は上腕骨です。,
q_text_004,text_mcq,basic_upper,前腕の母指側にある骨はどれですか。,radius,radius|ulna|tibia|fibula,,,橈骨は前腕の母指側、尺骨は小指側にあります。,
q_text_005,text_mcq,basic_trunk,英語 sternum に対応する日本語はどれですか。,sternum,sternum|rib|diaphragm|scapula,,,sternum は胸骨です。,
q_text_006,text_mcq,basic_head,下顎骨に対応する英語はどれですか。,mandible,mandible|maxilla|temporal_bone|patella,,,下顎骨は mandible です。,
q_text_007,text_mcq,basic_lower,人体で最も長い骨はどれですか。,femur,femur|tibia|humerus|fibula,,,大腿骨は人体で最も長い骨です。,
q_text_008,text_mcq,basic_lower,膝前面にある種子骨はどれですか。,patella,patella|calcaneus|tibia|fibula,,,膝蓋骨は膝前面に位置する種子骨です。,
q_text_009,text_mcq,basic_trunk,胸腔と腹腔を隔てる呼吸筋はどれですか。,diaphragm,diaphragm|trapezius|deltoid|biceps_brachii,,,横隔膜は主要な呼吸筋です。,
q_text_010,text_mcq,basic_muscle,肘関節伸展に主に働く筋はどれですか。,triceps_brachii,triceps_brachii|biceps_brachii|deltoid|trapezius,,,上腕三頭筋は肘関節を伸展します。,
q_text_011,text_mcq,basic_muscle,ラテン語 musculus deltoideus に対応する日本語はどれですか。,deltoid,deltoid|trapezius|biceps_brachii|triceps_brachii,,,musculus deltoideus は三角筋です。,
q_text_012,text_mcq,basic_head,上顎骨に対応する英語はどれですか。,maxilla,maxilla|mandible|temporal_bone|sternum,,,上顎骨は maxilla です。,
q_text_013,text_mcq,basic_upper,前腕の小指側にある骨はどれですか。,ulna,ulna|radius|humerus|clavicle,,,尺骨は前腕の小指側にあります。,
q_text_014,text_mcq,basic_trunk,ラテン語 costa に対応する日本語はどれですか。,rib,rib|sternum|diaphragm|scapula,,,costa は肋骨です。,
q_text_015,text_mcq,basic_head,ラテン語 os temporale に対応する日本語はどれですか。,temporal_bone,temporal_bone|maxilla|mandible|sternum,,,os temporale は側頭骨です。,
q_text_016,text_mcq,basic_lower,下腿内側の太い骨はどれですか。,tibia,tibia|fibula|patella|calcaneus,,,脛骨は下腿内側にあり、体重支持に関わります。,
q_text_017,text_mcq,basic_lower,足関節の外果を形成する骨はどれですか。,fibula,fibula|tibia|femur|patella,,,腓骨の遠位端は外果を形成します。,
q_text_018,text_mcq,basic_lower,かかとの骨格を作る足根骨はどれですか。,calcaneus,calcaneus|patella|tibia|fibula,,,踵骨はかかとの骨格を作ります。,
q_text_019,text_mcq,basic_muscle,肘関節屈曲と前腕回外に関わる筋はどれですか。,biceps_brachii,biceps_brachii|triceps_brachii|deltoid|trapezius,,,上腕二頭筋は肘関節屈曲と前腕回外に関わります。,
q_text_020,text_mcq,basic_muscle,肩甲骨の挙上や内転に関わる背部の筋はどれですか。,trapezius,trapezius|deltoid|biceps_brachii|diaphragm,,,僧帽筋は肩甲骨の挙上、内転、回旋に関わります。,
q_gray_single_gray86_atlas,single_image_mcq,osteology_basic,この構造物はどれか。,atlas,atlas|axis|vertebra|rib,gray86_atlas_superior,,環椎は第1頸椎で、頭蓋骨を支える輪状の椎骨です。,
q_gray_single_gray87_axis,single_image_mcq,osteology_basic,この構造物はどれか。,axis,axis|atlas|vertebra|sternum,gray87_axis_superior,,軸椎は第2頸椎で、歯突起を持つ頸椎です。,
q_gray_single_gray94_vertebra,single_image_mcq,osteology_basic,この構造物はどれか。,lumbar_vertebra,lumbar_vertebra|vertebra|atlas|axis,gray94_vertebra,,この図版は腰椎を示しています。腰椎は腰部の脊柱を構成する大きな椎骨です。,
q_gray_single_gray83_vertebra,single_image_mcq,osteology_basic,この構造物はどれか。,lumbar_vertebra,lumbar_vertebra|vertebra|atlas|axis,gray83_vertebra_section,,この図版は腰椎を示しています。腰椎は体重支持に関わる腰部の椎骨です。,
q_gray_single_rib_heb_rib,single_image_mcq,osteology_basic,この構造物はどれか。,rib,rib|sternum|clavicle|vertebra,gray_rib,,肋骨は胸郭を構成し、胸部臓器を保護します。,
q_gray_single_vertebra_heb_thoracic_vertebra,single_image_mcq,osteology_basic,この構造物はどれか。,thoracic_vertebra,thoracic_vertebra|cervical_vertebra|lumbar_vertebra|sacrum,gray_vertebra_superior,,この図版は胸椎を上方から見たものです。胸椎は肋骨と関節する椎骨です。,
q_gray_single_vertebra_side_heb_thoracic_vertebra,single_image_mcq,osteology_basic,この構造物はどれか。,thoracic_vertebra,thoracic_vertebra|cervical_vertebra|lumbar_vertebra|sacrum,gray_vertebra_lateral,,この図版は胸椎を側方から見たものです。胸椎は肋骨と関節する椎骨です。,
q_gray_single_gray207_humerus,single_image_mcq,osteology_basic,この構造物はどれか。,humerus,humerus|radius|ulna|femur,gray207_humerus_anterior,,上腕骨は肩から肘までを構成する長骨です。,
q_gray_single_gray208_humerus,single_image_mcq,osteology_basic,この構造物はどれか。,humerus,humerus|radius|ulna|femur,gray208_humerus_posterior,,この図版は上腕骨を示しています。,
q_gray_single_gray244_femur,single_image_mcq,osteology_basic,この構造物はどれか。,femur,femur|humerus|tibia|fibula,gray244_femur_anterior,,大腿骨は人体で最も長い骨です。,
q_gray_single_gray245_femur,single_image_mcq,osteology_basic,この構造物はどれか。,femur,femur|humerus|tibia|fibula,gray245_femur_posterior,,この図版は大腿骨を示しています。,
q_gray_single_gray200_clavicle,single_image_mcq,osteology_basic,この構造物はどれか。,clavicle,clavicle|scapula|sternum|rib,gray200_clavicle_superior,,鎖骨は胸骨と肩甲骨をつなぐ上肢帯の骨です。,
q_gray_single_gray201_clavicle,single_image_mcq,osteology_basic,この構造物はどれか。,clavicle,clavicle|scapula|sternum|rib,gray201_clavicle_inferior,,この図版は鎖骨を示しています。,
q_gray_single_gray202_scapula,single_image_mcq,osteology_basic,この構造物はどれか。,scapula,scapula|clavicle|humerus|sternum,gray202_scapula_posterior,,肩甲骨は肩の後面にある平たい骨です。,
q_gray_single_gray203_scapula,single_image_mcq,osteology_basic,この構造物はどれか。,scapula,scapula|clavicle|humerus|sternum,gray203_scapula_anterior,,この図版は肩甲骨を示しています。,
q_gray_single_gray256_patella,single_image_mcq,osteology_basic,この構造物はどれか。,patella,patella|femur|tibia|fibula,gray256_distal_femur,,この図版は膝蓋骨を示しています。膝蓋骨は膝関節前面に位置する種子骨です。,
q_gray111_label_1_cervical_vertebra,image_number_mcq,osteology_basic,図中の「1」で示す構造はどれか。,cervical_vertebra,cervical_vertebra|thoracic_vertebra|lumbar_vertebra|atlas,gray111_vertebral_column_plate,1,番号1は頸椎を示しています。頸椎は頸部の椎骨です。,
q_gray111_label_2_thoracic_vertebra,image_number_mcq,osteology_basic,図中の「2」で示す構造はどれか。,thoracic_vertebra,thoracic_vertebra|cervical_vertebra|lumbar_vertebra|sacrum,gray111_vertebral_column_plate,2,番号2は胸椎を示しています。胸椎は肋骨と関節する椎骨です。,
q_gray111_label_3_lumbar_vertebra,image_number_mcq,osteology_basic,図中の「3」で示す構造はどれか。,lumbar_vertebra,lumbar_vertebra|thoracic_vertebra|cervical_vertebra|sacrum,gray111_vertebral_column_plate,3,番号3は腰椎を示しています。腰椎は腰部の椎骨です。,
q_gray111_label_4_sacrum,image_number_mcq,osteology_basic,図中の「4」で示す構造はどれか。,sacrum,sacrum|coccyx|lumbar_vertebra|vertebra,gray111_vertebral_column_plate,4,番号4は仙骨を示しています。仙骨は骨盤後壁を構成します。,
q_gray111_label_5_coccyx,image_number_mcq,osteology_basic,図中の「5」で示す構造はどれか。,coccyx,coccyx|sacrum|lumbar_vertebra|vertebra,gray111_vertebral_column_plate,5,番号5は尾骨を示しています。尾骨は脊柱の最下部に位置する小骨です。,
q_gray193_ear_plate_label_1_frontal_bone,image_number_mcq,osteology_basic,図中の「1」で示す構造はどれか。,frontal_bone,frontal_bone|parietal_bone|occipital_bone|temporal_bone,gray193_ear_plate,1,番号1は前頭骨を示しています。前頭骨は額と眼窩上部を構成する頭蓋骨です。,
q_gray193_ear_plate_label_2_ethmoid_bone,image_number_mcq,osteology_basic,図中の「2」で示す構造はどれか。,ethmoid_bone,ethmoid_bone|occipital_bone|temporal_bone|sphenoid_bone,gray193_ear_plate,2,番号2は篩骨を示しています。篩骨は鼻腔上部と眼窩内側壁の一部を構成する頭蓋骨です。,
q_gray193_ear_plate_label_3_sphenoid_bone,image_number_mcq,osteology_basic,図中の「3」で示す構造はどれか。,sphenoid_bone,sphenoid_bone|temporal_bone|ethmoid_bone|zygomatic_bone,gray193_ear_plate,3,番号3は蝶形骨を示しています。蝶形骨は頭蓋底中央に位置し、多くの頭蓋骨と連結する骨です。,
q_gray193_ear_plate_label_4_temporal_bone,image_number_mcq,osteology_basic,図中の「4」で示す構造はどれか。,temporal_bone,temporal_bone|sphenoid_bone|ethmoid_bone|zygomatic_bone,gray193_ear_plate,4,番号4は側頭骨を示しています。側頭骨は頭蓋側面にあり、外耳道や顎関節窩を含みます。,
q_gray193_ear_plate_label_5_parietal_bone,image_number_mcq,osteology_basic,図中の「5」で示す構造はどれか。,parietal_bone,parietal_bone|ethmoid_bone|zygomatic_bone|lacrimal_bone,gray193_ear_plate,5,番号5は頭頂骨を示しています。頭頂骨は頭蓋冠の側上部を構成する骨です。,
q_gray193_ear_plate_label_6_occipital_bone,image_number_mcq,osteology_basic,図中の「6」で示す構造はどれか。,occipital_bone,occipital_bone|zygomatic_bone|lacrimal_bone|nasal_bone,gray193_ear_plate,6,番号6は後頭骨を示しています。後頭骨は頭蓋後下部を構成し、大後頭孔を含む骨です。,
q_gray190_skull_anterior_plate_label_1_frontal_bone,image_number_mcq,osteology_basic,図中の「1」で示す構造はどれか。,frontal_bone,frontal_bone|parietal_bone|occipital_bone|temporal_bone,gray190_skull_anterior_plate,1,番号1は前頭骨を示しています。前頭骨は額と眼窩上部を構成する頭蓋骨です。,
q_gray190_skull_anterior_plate_label_2_nasal_bone,image_number_mcq,osteology_basic,図中の「2」で示す構造はどれか。,nasal_bone,nasal_bone|occipital_bone|temporal_bone|sphenoid_bone,gray190_skull_anterior_plate,2,番号2は鼻骨を示しています。鼻骨は鼻背の骨性部分を構成する小骨です。,
q_gray190_skull_anterior_plate_label_3_maxilla,image_number_mcq,osteology_basic,図中の「3」で示す構造はどれか。,maxilla,maxilla|temporal_bone|sphenoid_bone|ethmoid_bone,gray190_skull_anterior_plate,3,番号3は上顎骨を示しています。上顎骨は上歯列や眼窩底、鼻腔外側壁の一部を作ります。,
q_gray190_skull_anterior_plate_label_4_zygomatic_bone,image_number_mcq,osteology_basic,図中の「4」で示す構造はどれか。,zygomatic_bone,zygomatic_bone|sphenoid_bone|ethmoid_bone|lacrimal_bone,gray190_skull_anterior_plate,4,番号4は頬骨を示しています。頬骨は頬の突出を作り、眼窩外側壁の一部を構成します。,
q_gray190_skull_anterior_plate_label_5_sphenoid_bone,image_number_mcq,osteology_basic,図中の「5」で示す構造はどれか。,sphenoid_bone,sphenoid_bone|ethmoid_bone|zygomatic_bone|lacrimal_bone,gray190_skull_anterior_plate,5,番号5は蝶形骨を示しています。蝶形骨は頭蓋底中央に位置し、多くの頭蓋骨と連結する骨です。,
q_gray190_skull_anterior_plate_label_6_lacrimal_bone,image_number_mcq,osteology_basic,図中の「6」で示す構造はどれか。,lacrimal_bone,lacrimal_bone|zygomatic_bone|nasal_bone|maxilla,gray190_skull_anterior_plate,6,番号6は涙骨を示しています。涙骨は眼窩内側壁前方に位置する小さな骨です。,
q_gray190_skull_anterior_plate_label_7_parietal_bone,image_number_mcq,osteology_basic,図中の「7」で示す構造はどれか。,parietal_bone,parietal_bone|lacrimal_bone|nasal_bone|maxilla,gray190_skull_anterior_plate,7,番号7は頭頂骨を示しています。頭頂骨は頭蓋冠の側上部を構成する骨です。,
q_gray190_skull_anterior_plate_label_8_temporal_bone,image_number_mcq,osteology_basic,図中の「8」で示す構造はどれか。,temporal_bone,temporal_bone|nasal_bone|maxilla|mandible,gray190_skull_anterior_plate,8,番号8は側頭骨を示しています。側頭骨は頭蓋側面にあり、外耳道や顎関節窩を含みます。,
q_gray190_skull_anterior_plate_label_9_sphenoid_bone,image_number_mcq,osteology_basic,図中の「9」で示す構造はどれか。,sphenoid_bone,sphenoid_bone|maxilla|mandible|vomer,gray190_skull_anterior_plate,9,番号9は蝶形骨を示しています。蝶形骨は頭蓋底中央に位置し、多くの頭蓋骨と連結する骨です。,
q_gray190_skull_anterior_plate_label_10_mandible,image_number_mcq,osteology_basic,図中の「10」で示す構造はどれか。,mandible,mandible|vomer|frontal_bone|parietal_bone,gray190_skull_anterior_plate,10,番号10は下顎骨を示しています。下顎骨は顔面頭蓋で唯一大きく可動する骨です。,
q_gray164_pelvis_plate_label_1_frontal_bone,image_number_mcq,osteology_basic,図中の「1」で示す構造はどれか。,frontal_bone,frontal_bone|parietal_bone|occipital_bone|temporal_bone,gray164_pelvis_plate,1,番号1は前頭骨を示しています。前頭骨は額と眼窩上部を構成する頭蓋骨です。,
q_gray164_pelvis_plate_label_2_parietal_bone,image_number_mcq,osteology_basic,図中の「2」で示す構造はどれか。,parietal_bone,parietal_bone|occipital_bone|temporal_bone|sphenoid_bone,gray164_pelvis_plate,2,番号2は頭頂骨を示しています。頭頂骨は頭蓋冠の側上部を構成する骨です。,
q_gray164_pelvis_plate_label_3_temporal_bone,image_number_mcq,osteology_basic,図中の「3」で示す構造はどれか。,temporal_bone,temporal_bone|sphenoid_bone|ethmoid_bone|zygomatic_bone,gray164_pelvis_plate,3,番号3は側頭骨を示しています。側頭骨は頭蓋側面にあり、外耳道や顎関節窩を含みます。,
q_gray164_pelvis_plate_label_4_sphenoid_bone,image_number_mcq,osteology_basic,図中の「4」で示す構造はどれか。,sphenoid_bone,sphenoid_bone|ethmoid_bone|zygomatic_bone|lacrimal_bone,gray164_pelvis_plate,4,番号4は蝶形骨を示しています。蝶形骨は頭蓋底中央に位置し、多くの頭蓋骨と連結する骨です。,
q_gray164_pelvis_plate_label_5_zygomatic_bone,image_number_mcq,osteology_basic,図中の「5」で示す構造はどれか。,zygomatic_bone,zygomatic_bone|ethmoid_bone|lacrimal_bone|nasal_bone,gray164_pelvis_plate,5,番号5は頬骨を示しています。頬骨は頬の突出を作り、眼窩外側壁の一部を構成します。,
q_gray164_pelvis_plate_label_6_lacrimal_bone,image_number_mcq,osteology_basic,図中の「6」で示す構造はどれか。,lacrimal_bone,lacrimal_bone|zygomatic_bone|nasal_bone|maxilla,gray164_pelvis_plate,6,番号6は涙骨を示しています。涙骨は眼窩内側壁前方に位置する小さな骨です。,
q_gray164_pelvis_plate_label_7_maxilla,image_number_mcq,osteology_basic,図中の「7」で示す構造はどれか。,maxilla,maxilla|lacrimal_bone|nasal_bone|mandible,gray164_pelvis_plate,7,番号7は上顎骨を示しています。上顎骨は上歯列や眼窩底、鼻腔外側壁の一部を作ります。,
q_gray164_pelvis_plate_label_8_nasal_bone,image_number_mcq,osteology_basic,図中の「8」で示す構造はどれか。,nasal_bone,nasal_bone|maxilla|mandible|vomer,gray164_pelvis_plate,8,番号8は鼻骨を示しています。鼻骨は鼻背の骨性部分を構成する小骨です。,
q_gray164_pelvis_plate_label_9_ethmoid_bone,image_number_mcq,osteology_basic,図中の「9」で示す構造はどれか。,ethmoid_bone,ethmoid_bone|maxilla|mandible|vomer,gray164_pelvis_plate,9,番号9は篩骨を示しています。篩骨は鼻腔上部と眼窩内側壁の一部を構成する頭蓋骨です。,
q_gray188_temporal_bone_plate_label_1_frontal_bone,image_number_mcq,osteology_basic,図中の「1」で示す構造はどれか。,frontal_bone,frontal_bone|parietal_bone|occipital_bone|temporal_bone,gray188_temporal_bone_plate,1,番号1は前頭骨を示しています。前頭骨は額と眼窩上部を構成する頭蓋骨です。,
q_gray188_temporal_bone_plate_label_2_parietal_bone,image_number_mcq,osteology_basic,図中の「2」で示す構造はどれか。,parietal_bone,parietal_bone|occipital_bone|temporal_bone|sphenoid_bone,gray188_temporal_bone_plate,2,番号2は頭頂骨を示しています。頭頂骨は頭蓋冠の側上部を構成する骨です。,
q_gray188_temporal_bone_plate_label_3_occipital_bone,image_number_mcq,osteology_basic,図中の「3」で示す構造はどれか。,occipital_bone,occipital_bone|temporal_bone|sphenoid_bone|ethmoid_bone,gray188_temporal_bone_plate,3,番号3は後頭骨を示しています。後頭骨は頭蓋後下部を構成し、大後頭孔を含む骨です。,
